ctrl   3   50  75.006666370
ctrl   3   60  78.568441502
ctrl   3   70  79.924964811
ctrl   3   80  80.777472107
ctrl   5   50  67.955868032
ctrl   6   50  76.006578663
ctrl   6   60  78.294316524
ctrl   6   70  81.215762017
ctrl   9   50  70.830784268
ctrl   9   60  74.953318806
ctrl   9   70  75.166481892
ctrl   9   80  77.665951356
ctrl   9   90  82.734515167
ctrl  11   50  71.847059787
ctrl  11   60  75.133215025
ctrl  11   70  76.216796049
ctrl  20   50  72.835430939
ctrl  20   60  78.568441502
ctrl  20   70  80.603970126
ctrl  20   80  82.073138115
ctrl  22   50  70.724818840
ctrl  22   60  74.813100457
ctrl  22   70  75.166481892
ctrl  22   80  77.006493233
ctrl  22   90  81.024687596
ctrl  22  100  78.492037813
ctrl  22  110  81.841309862
ctrl  23   50  74.518454090
ctrl  24   50  73.498299300
ctrl  24   60  75.591004756
ctrl  24   70  77.935871074
ctrl  24   80  79.195959493
ctrl  24   90  81.024687596
ctrl  24  100  82.462112512
ctrl  24  110  86.284413424
ctrl  25   50  69.641941386
ctrl  25   60  74.094534211
ctrl  25   70  78.390050389
ctrl  26   50  74.027022093
ctrl  26   60  77.524189773
ctrl  26   70  81.835200250
ctrl  26   80  81.633326528
ctrl  43   50  70.292247083
ctrl  43   60  76.026311235
ctrl  43   70  77.833154889
ctrl  43   80  79.511005528
ctrl  43   90  80.280757346
ctrl  44   50  70.802542327
ctrl  44   60  75.286120899
ctrl  44   70  78.390050389
ctrl  44   80  80.919713297
ctrl  44   90  79.605276207
ctrl  44  100  80.622577483
ctrl  44  110  82.661962232
ctrl  47   50  66.843099868
ctrl  47   60  73.000000000
ctrl  47   70  74.652528423
ctrl  47   80  77.466121627
ctrl  47   90  77.103826105
ctrl  48   50  70.604532432
ctrl  48   60  74.953318806
ctrl  48   70  78.409183136
ctrl  48   80  78.600254453
ctrl  48   90  80.721744282
ctrl  48  100  82.800966178
ctrl  48  110  83.006023878
high   1   50  69.339743293
high   1   60  73.246160309
high   1   70  77.388629656
high   1   80  78.102496759
high   1   90  76.485292704
high   1  100  77.801028271
high   1  110  79.056941504
high   7   50  70.802542327
high   7   60  75.000000000
high   7   70  76.843997814
high   7   80  81.024687596
high   7   90  80.603970126
high   7  100  82.800966178
high   7  110  83.815273071
high  12   50  74.276510419
high  12   60  77.781745931
high  12   70  79.906195004
high  12   80  84.646323015
high  14   50  71.119617547
high  14   60  74.404300951
high  14   70  75.451971479
high  49   50  69.462219947
high  49   60  74.686009399
high  49   70  75.742986474
high  49   80  78.243210568
high  49   90  77.155686764
high  49  100  77.466121627
high  49  110  80.280757346
high  50   50  73.246160309
high  50   60  74.652528423
high  50   70  76.843997814
high  50   80  80.280757346
high  50   90  80.603970126
high  50  100  82.377181306
high  50  110  83.408632647
high  51   50  68.883960397
high  51   60  72.917761897
high  51   70  76.059187479
high  51   80  79.202272695
high  52   50  71.421285343
high  52   60  76.843997814
high  52   70  77.665951356
high  52   80  81.835200250
high  52   90  81.400245700
high  52  100  83.408632647
high  52  110  84.723078320
high  53   50  70.455659815
high  53   60  72.124891681
high  53   70  75.451971479
